username, building_id, workers, level, buildingtype
spicy_ramen, 0, 1, 1, Townhall
ursaMayor, 0, 1, 1, Townhall 
xxxNOOBxxx, 0, 1, 1, Townhall
flyingWaterBottle, 0, 1, 1, Townhall
spicy_ramen, 1, 1, 2, Blacksmith
ursaMayor, 1, 1, 3, Blacksmith 
xxxNOOBxxx, 1, 1, 1, Blacksmith
flyingWaterBottle, 1, 1, 1, Blacksmith
spicy_ramen, 2, 1, 2, Tavern
ursaMayor, 2, 1, 1, Tavern 
xxxNOOBxxx, 2, 1, 1, Tavern
flyingWaterBottle, 2, 1, 5, Tavern
spicy_ramen, 3, 1, 2, Tavern
ursaMayor, 3, 1, 4, Blacksmith 
flyingWaterBottle, 3, 1, 3, Blacksmith
flyingWaterBottle, 4, 1, 2, Blacksmith
